Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,class
0.507066,0.153333,0.226092,0.302447,0.007239,0.36912,0.332436,0.017807,0.032819,0.033009,0.009196,0.095946,0.02497,0.020698,0.026131,0.015918,0.005096,0.012688,0.10294,0.056804,0.021908,0.01613,0.009059,0.021032,0.006855,0.017358,0.01343,0.009138,0.006768,0.007291,0.009224,0.036218,0.162955,2
0.281661,0.355953,0.253196,0.340335,0.415631,0.503923,0.392029,0.003648,0.068381,0.011155,0.025298,0.003649,0.151324,0.029064,0.003732,0.063712,0.025268,0.001858,0.002936,0.013652,0.182807,0.115666,0.027045,0.004569,0.005631,0.014048,0.002431,0.007076,0.037682,0.003089,0.004207,0.004144,0.005044,2
0.19375,0.257782,0.183339,0.247017,0.302133,0.363522,0.269729,0.293543,0.293002,0.029522,0.397337,0.100067,0.262793,0.083273,0.01936,0.251711,0.472875,0.218066,0.086856,0.043234,0.036585,0.080211,0.075625,0.034404,0.023837,0.013922,0.081406,0.413674,0.295615,0.120392,0.036566,0.032652,0.025776,4
0.514782,0.154867,0.016903,0.226084,0.297642,0.239111,0.248268,0.066745,0.11502,0.083407,0.040283,0.108304,0.092242,0.036907,0.088999,0.049287,0.020324,0.03359,0.106965,0.142574,0.080029,0.044962,0.022394,0.038212,0.020949,0.023019,0.021147,0.020813,0.019048,0.011606,0.013379,0.044839,0.123552,2
0.774337,0.012549,0.105751,0.033302,0.01717,0.049754,0.1735,0.05522,0.044184,0.034923,0.02893,0.045202,0.033003,0.02015,0.028169,0.055594,0.016363,0.012522,0.034337,0.014627,0.011947,0.013692,0.010914,0.017998,0.034876,0.060708,0.048119,0.027417,0.015022,0.010218,0.008121,0.012539,0.018058,1
0.290048,0.376655,0.265364,0.002345,0.349787,0.038561,0.328375,0.029967,0.0623,0.024937,0.096486,0.011939,0.057226,0.11218,0.010426,0.055814,0.01122,0.009194,0.004462,0.008342,0.052274,0.254968,0.102895,0.042128,0.012356,0.006035,0.010194,0.007669,0.004474,0.021949,0.013376,0.005545,0.007543,5
0.703354,0.212933,0.007386,0.309714,0.404653,0.514641,0.484001,0.024265,0.023083,0.054168,0.022284,0.03688,0.011034,0.022601,0.102846,0.020659,0.006092,0.073503,0.009961,0.007364,0.007292,0.016796,0.021462,0.092551,0.160476,0.040955,0.020071,0.013698,0.007914,0.00878,0.016182,0.012371,0.011991,5
0.607511,0.03658,0.088694,0.269505,0.345496,0.142084,0.282492,0.082534,0.079843,0.062985,0.052723,0.04887,0.058484,0.071466,0.018284,0.07495,0.046143,0.026764,0.023126,0.022123,0.055724,0.179194,0.062555,0.035637,0.021879,0.018122,0.025777,0.014497,0.016348,0.033121,0.029755,0.023333,0.024415,5
0.189449,0.239862,0.171706,0.236359,0.006908,0.033678,0.188917,0.440615,0.433644,0.179348,0.35362,0.122945,0.165047,0.051216,0.154478,0.54682,0.337133,0.228186,0.085841,0.060773,0.065568,0.08498,0.038072,0.036364,0.05012,0.056057,0.152886,0.173487,0.09717,0.0495,0.035956,0.05477,0.046489,4
0.550076,0.166653,0.242406,0.325101,0.011737,0.400244,0.360612,0.029147,0.107035,0.05271,0.022458,0.039776,0.160962,0.022465,0.049734,0.039433,0.011009,0.010428,0.029417,0.115698,0.147888,0.078751,0.016408,0.020287,0.019483,0.008992,0.019086,0.045053,0.013308,0.015123,0.009213,0.008663,0.019564,0
0.245959,0.318226,0.222164,0.302039,0.367078,0.00559,0.332685,0.037246,0.181016,0.212803,0.022559,0.246653,0.165836,0.025203,0.055977,0.025435,0.012322,0.063514,0.266056,0.258366,0.148965,0.068717,0.015213,0.033824,0.016728,0.047875,0.022057,0.017326,0.007747,0.006665,0.012275,0.04656,0.193423,2
0.204229,0.260814,0.24937,0.186896,0.306574,0.368793,0.272611,0.109531,0.110373,0.004331,0.15388,0.034244,0.103284,0.021322,0.002581,0.02862,0.17966,0.094928,0.030087,0.007567,0.019742,0.007535,0.01919,0.003441,0.007339,0.001193,0.003195,0.082841,0.124019,0.069398,0.008652,0.008338,0.002502,4
