feat_1,feat_2,class
0.2414938,0.0328371,0
0.1679026,0.0204891,1
0.1154796,0.0035192,2
0.04478,0.0182455,3
0.2326265,0.0140409,0
0.1846777,0.0476088,1
0.1062917,0.0189691,2
0.0232621,0.0435443,3
0.2704814,0.0441687,0
0.1742738,0.0221615,1
0.1176764,0.0093223,2
0.0053331,0.028153,3
0.2484822,0.0051262,0
0.1845152,0.0179064999999999,1
0.0896295,0.0171164,2
0.0177334,0.0134942,3
0.2542762,0.0190228,0
0.1570261,0.033003,1
0.0804638,0.0458981,2
0.0236827,0.0037462,3
0.2514062,0.0287902,0
0.1911558,0.0269908,1
0.1048974,0.0442934,2
0.007446,0.0149125,3
0.2485315,0.0236761,0
0.180898,0.0152126,1
0.1211551,0.0314273,2
0.0119368,0.0245032,3
0.259718,0.0435605,0
0.1610082,0.0329081,1
0.0980284,0.0445423,2
0.0145057,0.0021608,3
0.2765739,0.0290715,0
0.1637149,0.0278437,1
0.1310412,0.0364877,2
0.0539942,0.0330271,3
0.2444514,0.0150069,0
0.2087403,0.0217651,1
0.0863735,0.0248442,2
0.0228814,0.0458532,3
0.240482,0.0070146,0
0.1849157,0.0388363,1
0.1076924,0.0355988,2
0.0195849,0.0424085,3
0.2820721,0.0373717,0
0.1943942,0.0472192,1
0.0965738,0.0389589,2
0.0143608,0.0049089,3
0.2472161,0.036973,0
0.1731362,0.0201116,1
0.1203078,0.018572,2
0.060185,0.0049566,3
0.2433556,0.0158692,0
0.1996603,0.0175281,1
0.1209979,0.0481751,2
0.0473514,0.0470903,3
0.2420656,0.0216276,0
0.1706803,0.0392977,1
0.0973595,0.0490859,2
0.0620566,0.0472623,3
0.2720157,0.0218478,0
0.1814244,0.0039438,1
0.1179145,0.038382,2
0.0336868,0.0428778,3
0.2427799,0.0221374,0
0.174788,0.0288909,1
0.1390041,0.0267673,2
0.0417306,0.0046026,3
0.2451035,0.0458435,0
0.1887239,0.0123931,1
0.0992199,0.0282968,2
0.0267706,0.0468359,3
0.2857326,0.0315137,0
0.1948738,0.0379033,1
0.0997191,0.0188234,2
0.0246546,0.0159277,3
0.2856157,0.0272266,0
0.2186491,0.0010434,1
0.1202982,0.0252237,2
0.0671059,0.0382109,3
0.2797767,0.0100668,0
0.2129772,0.0382136,1
0.1261812,0.0230053,2
0.048796,0.0191044,3
0.2946926,0.0121578,0
0.2112833,0.0011864,1
0.1050345,0.039918,2
0.0266867,0.0045039,3
0.2683326,0.000703,0
0.1931095,0.0317714,1
0.1467884,0.0360669,2
0.038625,0.0379038,3
0.2846896,0.0455772,0
0.2225061,0.016039,1
0.108314,0.0325593,2
0.0692917,0.0170432,3
0.29453,0.0470414,0
0.1929989,0.0158033999999999,1
0.1295375,0.0050847,2
0.0430163,0.0031502,3
0.2755035,0.0372138,0
0.2170322,0.0350852,1
0.1319524,0.0173513,2
0.0340264,0.047883,3
0.2670401,0.0270225,0
0.2086963,0.021196,1
0.1042526,0.0031103,2
0.0569113,0.0264183,3
0.2785189,0.0378016,0
0.1868642,0.023536,1
0.1029931,0.0327216,2
0.0529575,0.0438481,3
0.2888097,0.0411238,0
0.1857016,0.0278955,1
0.1062524,0.0089122,2
0.0502715,0.0196028,3
0.2911072,0.0120686,0
0.216557,0.0204496,1
0.1330637,0.0105516,2
0.0469288,0.0436903,3
0.2899649,0.001823,0
0.2051907,0.0003622,1
0.1465945,0.035949,2
0.0738701,0.0106779,3
0.2905117,0.0240131,0
0.1984413,0.0154444,1
0.1187876,0.0204977,2
0.0670355,0.0428981,3
0.3062214,0.0216452,0
0.1847754,0.0371046,1
0.1303062,0.0029258,2
0.0649557,0.00435,3
0.3059,0.0299005,0
0.1941334,0.0117344,1
0.1324513,0.0082717,2
0.0336963,0.0473794,3
0.2673712,0.0244412,0
0.2162788,0.0227569,1
0.1437666,0.0483338,2
0.0756806,0.0193352,3
0.28339,0.0099504,0
0.2067504,0.0028208,1
0.1551161,0.0122402,2
0.0532956,0.0254692,3
0.3040524,0.0053717,0
0.2336229,0.0450922,1
0.1583764,0.0476743,2
0.0452139,0.0499427,3
0.2984041,0.048422,0
0.2055716,0.0033439,1
0.120351,0.0010911,2
0.0600215,0.0227849,3
0.2957649,0.0389241,0
0.213403,0.0362303,1
0.1157008,0.0200063,2
0.0755388,0.0486229,3
0.2761034,0.0424263,0
0.2372806,0.0071995,1
0.1631528999999999,0.0371218,2
0.0787519,0.0166293,3
0.3016243,0.0090579,0
0.2060455,0.0124217,1
0.1405904,0.0491468,2
0.0749057,0.0001757,3
0.2715423,0.0359209,0
0.1977494,0.0400366,1
0.1446255,0.0030319,2
0.0556223,0.0458202,3
0.2974598,0.0367726,0
0.192714,0.0114072,1
0.1231468,0.0171849,2
0.0475315,0.035979,3
0.2791092,0.0422127,0
0.2418381,0.0035648,1
0.1222711,0.0162654999999999,2
0.0603078,0.0480588,3
0.3081275,0.0087016999999999,0
0.2338256,0.0267384,1
0.1614061,9.64e-05,2
0.0795101,0.0147323,3
0.2863873,0.0206868,0
0.1958511,0.031443,1
0.1582401,0.0371089,2
0.0697226,0.0024179,3
0.2894025,0.0088994,0
0.2419144,0.022983,1
0.1358675,0.0242999,2
0.0723689,0.0254477,3
0.2903691,0.0042302,0
0.245464,0.0277304,1
0.1296277,0.0095575,2
0.0771578,0.0155065,3
0.3099056,0.0132365,0
0.2434217,0.0426785,1
0.1396582,0.0182482,2
0.0507393,0.0018555,3
0.2897746,0.0326876,0
0.2430542,0.0275241,1
0.1247353,0.0260649,2
0.0743945,0.0450126,3
0.276663,0.0325051,0
0.2127977,0.0346332,1
0.128556,0.0298933,2
0.0631833,0.0257658,3
0.30522,0.0238431,0
0.2423283,0.0150801,1
0.129892,0.0360985,2
0.071662,0.0051351,3
0.2893099,0.0350811,0
0.2096856,0.0149023,1
0.1650417,0.0175796,2
0.0938067,0.0429075,3
0.3014851,0.0478669,0
0.2244321,0.0334296,1
0.1550568,0.015666,2
0.072748,0.0361411,3
0.3137167,0.0095335,0
0.236932,0.0484073,1
0.1612083,0.0283328,2
0.0995337,0.0261625,3
0.3174405,0.0059427,0
0.2283074,0.0295242,1
0.1748654,0.0212548,2
0.0938967,0.0439511,3
0.3113684,0.0353411,0
0.2471367,0.006299,1
0.1399009,0.0208564,2
0.0735722,0.0098757,3
0.3247364,0.0263633,0
0.2302133,0.0169466,1
0.1465538,0.0075998999999999,2
0.0972494,0.0397076,3
0.2911121,0.0418744,0
0.2436783,0.0236639,1
0.1508133,0.0277103,2
0.0610008,0.0144313,3
0.32738,0.0032201,0
0.2379674,0.0375899,1
0.1442337,0.0397707,2
0.0818881,5.87e-05,3
0.3111681,0.0057324,0
0.2540293,0.0386373,1
0.1761676,0.0317817,2
0.0990729,0.0239083,3
0.3316327,0.0072203,0
0.2156054,0.0356469,1
0.1734503,0.0045718,2
0.0998647,0.0339729,3
0.3125602,0.0147579,0
0.2279132,0.0243318,1
0.1446363,0.0142557,2
0.0978857,0.0370738,3
0.289613,0.0008721,0
0.2226164,0.007054,1
0.1838659,0.0299949,2
0.0952809,0.0409917,3
0.3356343,0.0291246,0
0.2143144,0.0247443,1
0.1519099,0.0209542,2
0.1009485,0.0227368,3
0.3273672,0.0132887,0
0.2616232,0.0355058,1
0.1448026,0.0095544,2
0.1046463,0.00516,3
0.3384025,0.0221805,0
0.2402869,0.0012462,1
0.1729592,0.0228378,2
0.1149747,0.0236896,3
0.306053,0.031307,0
0.2630084,0.0087381999999999,1
0.1614413,0.0288908,2
0.0846878,0.0174667,3
0.3170817,0.0055579,0
0.2491289,0.0385254,1
0.1493305,0.01477,2
0.1010343,0.0424287,3
0.3018711,0.0098848,0
0.2263871,0.0374365,1
0.1756489,0.0241152,2
0.0886788,0.007805,3
0.3073913,0.0498633,0
0.2350125,0.0200848,1
0.1764199,0.0168706,2
0.0737928,0.0470178,3
0.3282504,0.0183653,0
0.2318888,0.0091203,1
0.1857944,0.0342717,2
0.0807743,0.0492586,3
0.3374667,0.0260358,0
0.2554077,0.0342397,1
0.147006,0.0166936999999999,2
0.1029372,0.0086084,3
0.3238782,0.02557,0
0.2507302,0.0123647,1
0.1606119,0.0430319,2
0.0968323,0.0114016,3
0.3350066,0.0066241,0
0.2734523,0.0136035,1
0.195991,0.0149423,2
0.1220775,0.0410742,3
0.3191492,0.0434683,0
0.2299254,0.0024001,1
0.1770432,0.0333605,2
0.0811332,0.0295173,3
0.3256524,0.0458628,0
0.2309913,0.0196161,1
0.171134,0.0407833,2
0.0942669,0.0205149,3
0.3252654,0.0266648,0
0.2271699,0.007536,1
0.1604203,0.0303535,2
0.1047798,0.0140445,3
0.3370243,0.0483651,0
0.2361254,0.0132218,1
0.1639568,0.0372393,2
0.0965377,0.049849,3
0.3469973,0.0399092,0
0.2644191,0.0043414,1
0.1832137,0.0131434,2
0.0963488,0.0202245,3
0.3134523,0.0472521,0
0.2722109,0.0282888,1
0.2040398,0.0495125,2
0.1103053,0.0487344,3
0.3194709,0.0018112,0
0.2598519,0.0238862,1
0.1951185,0.0180611,2
0.0849238,0.0024178,3
0.3302541,0.0357849,0
0.2335143,0.0394577,1
0.2026664,0.0019333,2
0.087425,0.0364864,3
0.3284428,0.0490909,0
0.2359408,0.0140664,1
0.198654,0.0283613,2
0.1195707,0.0397961,3
0.3364283,0.0002089,0
0.2470136,0.0425263,1
0.1826516,0.0482615,2
0.1119342,0.0138188,3
0.3348618,0.010021,0
0.2466117,0.0426314,1
0.1925758,0.0103306,2
0.1325634,0.0380335,3
0.333785,0.0498766,0
0.2425086,0.0249022,1
0.2059695,0.0011471,2
0.1358666,0.0428239,3
0.3367133,0.0263812,0
0.2682614,0.017498,1
0.2066049,0.0279881,2
0.1004818,0.0488498,3
0.3517983,0.0088637,0
0.2532817,0.015627,1
0.186184,0.0276156,2
0.1024844,0.0478184,3
0.3319365,0.0074485999999999,0
0.2451278,0.037079,1
0.2076113,0.0182373,2
0.1352157,0.0098291,3
0.3647606,0.0265432,0
0.2400902,0.0397859,1
0.2025635,0.0211097,2
0.0986895,0.0232646,3
0.3281704,0.0331764,0
0.2764602,0.0260372,1
0.1706444,0.0325301,2
0.1369169,0.0073054,3
0.3484656,0.0146273,0
0.2796499,0.0222213,1
0.2107864,0.0146712,2
0.1076389,0.0121513,3
0.3446536,0.0101728,0
0.2795911,0.0088303,1
0.1899824,0.0064249,2
0.1227806,0.0392324,3
0.325855,0.0132495,0
0.2576943,0.0230337,1
0.204343,0.0392086,2
0.1085457,0.0057023,3
0.3526614,0.0088527,0
0.2853963,0.0111257,1
0.2151254,0.0269593,2
0.1152383,0.0288159,3
0.3374743,0.0238047,0
0.2648371,0.0190432,1
0.1840284,0.04088,2
0.1269528,0.0482427,3
0.3714598,0.0418056,0
0.2625446,0.0201391,1
0.1724526,0.0244853,2
0.1003581,0.031583,3
0.3669626,0.0262512,0
0.2772925,0.0278475,1
0.176494,0.0334939,2
0.1376122,0.0216971,3
0.3490409,0.0204967,0
0.2940813,0.0195395,1
0.1942147,0.0406309,2
0.1050207,0.0089619999999999,3
0.3747506,0.0403166,0
0.2543212,0.0035622,1
0.1873157,0.0443728,2
0.1071437,0.0057689,3
0.3450942,0.0035894,0
0.2551348,0.0244366,1
0.1985239,0.0397068,2
0.1087774,0.0371541,3
0.3376625,0.0282973,0
0.2607654,0.0102556,1
0.2264872,0.0019101,2
0.1185817,0.0106814,3
0.3747197,0.0250014,0
0.2834046,0.0432638,1
0.2134423,0.0402217,2
0.1205692,0.0486735,3
0.3651106,0.0289094,0
0.2652569,0.0195653,1
0.2216461,0.0412068,2
0.113802,0.0297213,3
0.351791,0.0329297,0
0.2628744,0.038298,1
0.2102913,0.0009404,2
0.1536311,0.0265259,3
0.3566789,0.0406722,0
0.2594025,0.0247014,1
0.1855616,0.0203013,2
0.1089423,0.0232359,3
0.3724027,0.0039433,0
0.2572926,0.030797,1
0.1871554,0.0393909,2
0.132874,0.0316992,3
0.3607278,0.0265153,0
0.2768305,0.0215879,1
0.2027742,0.0495971,2
0.1309301,0.0316625,3
0.3371185,0.0391687,0
0.2783334,0.0117441,1
0.2289241,0.0127209,2
0.1505208,0.0492167,3
0.3479554,0.0163284,0
0.2996964,0.0371154,1
0.2156184,0.0214141,2
0.110311,0.0344728,3
0.3610692,0.0337063,0
0.281327,0.0499018,1
0.2077593,0.0105939,2
0.1153462,0.0300343,3
0.3555779,0.0188455,0
0.2683802,0.033146,1
0.2228446,0.0088265,2
0.1421528,0.0199202,3
0.3499757,0.0329788,0
0.2742039,0.0438039,1
0.2169279,0.037698,2
0.1133338,0.0145151,3
0.3620567,0.0491212,0
0.293922,0.009535,1
0.1898707,0.021213,2
0.1508426,0.0384792,3
0.3432247,0.0097969,0
0.3022129,0.0306034,1
0.2220259,0.0479441,2
0.1485951,0.0261382,3
0.3722641,0.0462531,0
0.3025272,0.0129944,1
0.1955004,0.0158498,2
0.1357177,0.0393034,3
0.3828913,0.0138732,0
0.285875,0.0002362,1
0.2034112,0.0357475,2
0.1655999,0.0143006,3
0.361783,0.0406802,0
0.2786031,0.0203193,1
0.2175176,0.0478345,2
0.1589459,0.0359406,3
0.3675944,0.0278683,0
0.2922812,0.0263526,1
0.2274854,0.0319348,2
0.120961,0.0263755,3
0.3499141,0.0445897,0
0.2719539,0.0344223,1
0.2414896,0.0290836,2
0.1291847,0.0388075,3
0.3941969,0.0291272,0
0.3182747,0.0291358,1
0.2434113,0.0259099,2
0.1502722,0.0020405,3
0.3816395,0.0261286,0
0.3172908,0.0393394,1
0.2214161,0.0099404,2
0.1668572,0.0059164,3
0.3491206,0.0313544,0
0.3023404,0.0111842,1
0.2048786,0.0441854,2
0.1681518,0.0184299,3
0.3677158,0.0284028,0
0.2845455,0.0007766,1
0.2060079,0.0088959,2
0.1569554,0.044522,3
0.3516106,0.0256827,0
0.3187605,0.033136,1
0.2062041,0.0304602,2
0.1473361,0.0110804,3
0.3995551,0.0392717,0
0.3198426,0.0446772,1
0.2197219,0.029607,2
0.1383756,0.0013529,3
0.3657206,0.0097395,0
0.2779583,0.0411377,1
0.2269474,0.0368699,2
0.1630188,0.0334975,3
0.3555262,0.0297362,0
0.2799681,0.030071,1
0.2281371,0.0088413,2
0.154644,0.03072,3
0.3810421,0.0057895,0
0.2998092,0.0152501,1
0.2477339,0.0107138,2
0.170288,0.04109,3
0.3735251,0.0482479,0
0.3100425,0.0268652,1
0.2503613,0.0276674,2
0.1487144,0.0078127,3
0.378976,0.0463224,0
0.3087064,0.0375577,1
0.2235035,0.040059,2
0.1784916,0.0135105,3
0.4034823,0.0004098,0
0.319403,0.0309466,1
0.226391,0.030371,2
0.1432939,0.0480348,3
0.4051333,0.0393893,0
0.2861691,0.0391656,1
0.2514894,0.0141342,2
0.1645453,0.0080009,3
0.3683504,0.0293291,0
0.3099804,0.0121958,1
0.2151235,0.0207969,2
0.1756715,0.0163474,3
0.4097414,0.0318259,0
0.3203971,0.0477593,1
0.2573703,0.0106674,2
0.1825819,0.0117115,3
0.4089443,0.0152996,0
0.2925407,0.0073737,1
0.2241177,0.0496256,2
0.1859372,0.0177756,3
0.3714372,0.0161651,0
0.3109267,0.017344,1
0.22365,0.027783,2
0.180018,0.0278019,3
0.3657534,0.0463299,0
0.330206,0.0344393,1
0.2142749,0.0363275,2
0.1866049,0.0122547,3
0.4070835,0.0244253,0
0.2968013,0.0370095,1
0.2354729,0.0040367,2
0.1603971,0.017056,3
0.3861993,0.0416598,0
0.3269622,0.0418883,1
0.234409,0.01288,2
0.1628673,0.0057739,3
0.3687535,0.0382149,0
0.3142038,0.013054,1
0.234672,0.0440161,2
0.164523,0.0419215,3
0.3927878,0.0306892,0
0.3243626,0.03737,1
0.2186034,0.0431696,2
0.1541062,0.0148891,3
0.4162434,0.0233747,0
0.3387847,0.0088572,1
0.2653531,0.0128144,2
0.1441323,0.0269008,3
0.3804427,0.0135082,0
0.3165723,0.0318452,1
0.2398091,0.0125088,2
0.1910661,0.0435989,3
0.4133464,0.0112741,0
0.3274905,0.0207747,1
0.2426431,0.0444365,2
0.1923099,0.0294761,3
0.3800702,0.0064236,0
0.3228212,0.0377124,1
0.2576847,0.0150934,2
0.1464794,0.0186926,3
0.3923459,0.0263118,0
0.332386,0.0259828,1
0.2676524,0.0490368,2
0.1512949,0.0449108,3
0.3807557,0.0422963,0
0.3093064,0.0046425,1
0.236771,0.024277,2
0.1859257,0.0057348,3
0.3744495,0.0274402,0
0.3103971,0.0323305,1
0.2634805,0.0089361,2
0.1901266,0.0101546,3
0.3836661,0.0327269,0
0.3131834,0.0275391,1
0.2262488,0.0452639,2
0.1618386,0.0176114,3
0.3850216,0.0027984,0
0.3143416,0.0198156,1
0.2318503,0.0313275,2
0.1969649,0.0499479,3
0.4028335,0.0162588,0
0.3254006,0.0324428,1
0.2605102,0.04977,2
0.1542083,0.0077361,3
0.3885936,0.020605,0
0.3524448,0.0311729,1
0.2528768,0.0308244,2
0.1846562,0.035669,3
0.3870114,0.036404,0
0.3135826,0.01388,1
0.2632769,0.0358099,2
0.2008691,0.0277855,3
0.4002524,0.0053352,0
0.3528995,0.0461393,1
0.233705,0.0201909,2
0.1967703,0.0293163,3
0.4220476,0.0426211,0
0.3397469,0.0034981,1
0.2756442,0.0328582,2
0.1721576,0.0223812,3
0.3895183,0.0008633,0
0.3255151,0.0052239,1
0.2325021,0.0231336,2
