0,1,2,3,4,5,6,class
0,1558.0,0,0,2,15.0,222.0,1
4,2722.0,0,5,2,30.0,228.0,0
4,1646.0,0,7,2,50.0,212.0,1
7,6925.0,0,15,2,345.0,85.0,0
1,654.0,0,1,2,360.0,130.0,0
17,647.0,0,24,2,360.0,105.0,1
17,532.0,0,48,2,375.0,200.0,1
13,671.0,0,18,2,377.0,138.0,0
17,550.0,0,64,2,385.0,125.0,0
0,680.0,0,0,2,390.0,225.0,1
17,3854.0,0,8,2,395.0,175.0,0
17,1766.0,0,10,2,405.0,100.0,0
12,2648.0,0,33,2,405.0,68.0,0
1,1184.0,0,6,2,410.0,200.0,0
17,1246.0,0,60,2,410.0,175.0,1
17,1279.0,0,41,2,410.0,255.0,1
17,661.0,0,24,2,410.0,110.0,1
17,729.0,0,33,2,415.0,65.0,0
2,641.0,0,2,2,420.0,188.0,0
4,2646.0,0,7,2,420.0,208.0,0
13,264.0,0,24,2,424.0,111.0,0
1,1912.0,0,1,2,425.0,140.0,0
4,2922.0,0,5,2,425.0,230.0,0
17,599.0,0,21,2,425.0,130.0,0
17,2984.0,0,15,2,430.0,85.0,0
17,3506.0,0,47,2,430.0,125.0,0
17,289.0,0,18,2,435.0,130.0,1
17,817.0,0,87,2,440.0,85.0,1
17,705.0,0,83,2,445.0,65.0,0
17,897.0,0,63,2,445.0,80.0,0
4,2266.0,0,10,2,450.0,104.0,1
13,656.0,0,6,2,450.0,202.0,0
17,375.0,0,45,2,450.0,70.0,1
17,23.0,0,55,2,455.0,65.0,0
17,3768.0,0,46,2,460.0,70.0,0
3,734.0,0,39,2,465.0,273.0,1
16,868.0,0,24,2,465.0,105.0,0
0,1540.0,0,0,2,465.0,216.0,0
17,3420.0,0,33,2,465.0,65.0,0
4,1492.0,0,4,2,475.0,184.0,1
6,35.0,0,11,2,480.0,400.0,1
0,254.0,0,22,2,480.0,263.0,1
0,540.0,0,1,2,480.0,138.0,0
17,2898.0,0,83,2,480.0,65.0,0
1,1237.0,0,1,2,485.0,135.0,0
3,363.0,0,51,2,485.0,225.0,0
4,1994.0,0,9,2,485.0,279.0,0
17,2027.0,0,61,2,490.0,145.0,1
17,609.0,0,15,2,490.0,85.0,0
17,1103.0,0,33,2,495.0,65.0,1
4,1446.0,0,7,2,500.0,211.0,0
0,282.0,0,64,2,500.0,117.0,0
17,1025.0,0,55,2,500.0,70.0,0
3,1561.0,0,3,2,505.0,150.0,0
1,1051.0,0,19,2,510.0,245.0,0
0,455.0,0,10,2,510.0,97.0,0
0,79.0,0,2,2,510.0,183.0,0
12,2833.0,0,87,2,510.0,89.0,0
12,2926.0,0,102,2,510.0,94.0,0
0,24.0,0,15,2,515.0,85.0,0
0,180.0,0,45,2,520.0,72.0,0
0,270.0,0,33,2,520.0,71.0,0
12,2735.0,0,36,2,520.0,82.0,0
12,2773.0,0,177,2,520.0,67.0,0
0,403.0,0,18,2,525.0,130.0,0
0,641.0,0,46,2,525.0,74.0,0
0,652.0,0,63,2,525.0,81.0,0
0,86.0,0,8,2,525.0,172.0,0
17,112.0,0,83,2,525.0,65.0,0
17,840.0,0,33,2,525.0,65.0,0
17,1155.0,0,43,2,530.0,155.0,1
17,3147.0,0,15,2,530.0,85.0,0
17,388.0,0,45,2,530.0,70.0,1
13,534.0,0,24,2,540.0,120.0,0
17,311.0,0,2,2,540.0,190.0,1
16,618.0,0,24,2,545.0,105.0,0
17,1618.0,0,62,2,545.0,130.0,1
4,2736.0,0,26,2,550.0,182.0,1
17,1126.0,0,24,2,550.0,110.0,1
17,129.0,0,10,2,550.0,100.0,1
17,301.0,0,63,2,555.0,80.0,1
1,1172.0,0,6,2,565.0,205.0,0
0,302.0,0,0,2,570.0,230.0,0
17,187.0,0,37,2,570.0,250.0,0
12,2807.0,0,63,2,570.0,79.0,0
1,1716.0,0,1,2,585.0,140.0,0
0,486.0,0,24,2,585.0,109.0,0
0,57.0,0,4,2,585.0,189.0,0
0,687.0,0,39,2,585.0,282.0,1
12,2841.0,0,28,2,585.0,79.0,0
12,2934.0,0,26,2,585.0,184.0,0
0,1244.0,0,40,2,587.0,251.0,1
12,2839.0,0,221,2,587.0,65.0,0
13,952.0,0,20,2,589.0,255.0,0
12,2903.0,0,172,2,589.0,94.0,1
0,158.0,0,60,2,590.0,180.0,0
0,183.0,0,37,2,590.0,258.0,1
0,81.0,0,41,2,590.0,257.0,1
17,1577.0,0,87,2,590.0,90.0,1
17,3496.0,0,47,2,590.0,125.0,0
17,568.0,0,15,2,590.0,90.0,1
17,961.0,0,46,2,590.0,75.0,0
12,2727.0,0,55,2,590.0,80.0,0
0,12.0,0,9,2,595.0,292.0,0
0,202.0,0,83,2,595.0,78.0,0
0,220.0,0,35,2,595.0,294.0,0
0,231.0,0,5,2,595.0,238.0,0
0,250.0,0,22,2,595.0,278.0,0
0,3.0,0,6,2,595.0,205.0,0
0,460.0,0,70,2,595.0,207.0,0
0,578.0,0,76,2,595.0,238.0,1
0,590.0,0,43,2,595.0,160.0,0
0,602.0,0,33,2,595.0,80.0,0
17,441.0,0,45,2,595.0,75.0,1
11,2421.0,0,3,2,595.0,154.0,1
12,2762.0,0,56,2,595.0,141.0,1
12,2821.0,0,66,2,596.0,58.0,0
12,2894.0,0,171,2,596.0,113.0,0
12,2816.0,0,79,2,598.0,178.0,0
0,149.0,0,68,2,599.0,226.0,0
0,274.0,0,3,2,599.0,164.0,0
0,567.0,0,13,2,599.0,246.0,0
17,1089.0,0,33,2,600.0,70.0,1
17,1669.0,0,64,2,600.0,120.0,0
12,2932.0,0,62,2,600.0,145.0,0
0,542.0,0,1,2,603.0,149.0,0
0,511.0,0,109,2,605.0,165.0,0
0,632.0,0,73,2,605.0,243.0,0
17,1170.0,0,48,2,605.0,205.0,1
0,122.0,0,30,2,610.0,211.0,0
0,610.0,0,7,2,610.0,226.0,0
4,2292.0,0,4,2,612.0,198.0,1
17,944.0,0,118,2,615.0,120.0,1
17,738.0,0,49,2,620.0,195.0,1
17,267.0,0,109,2,625.0,155.0,1
17,682.0,0,67,2,625.0,140.0,1
17,256.0,0,13,2,630.0,245.0,0
17,3773.0,0,76,2,630.0,235.0,1
17,1992.0,0,63,2,635.0,80.0,1
17,950.0,0,56,2,635.0,125.0,1
1,312.0,0,1,2,640.0,135.0,0
17,1013.0,0,62,2,640.0,125.0,0
0,679.0,0,88,2,645.0,127.0,0
17,997.0,0,35,2,645.0,300.0,1
0,280.0,0,64,2,650.0,117.0,0
0,365.0,0,21,2,650.0,123.0,1
0,621.0,0,47,2,650.0,123.0,1
12,2711.0,0,135,2,650.0,103.0,0
12,2775.0,0,129,2,659.0,114.0,0
0,49.0,0,33,2,660.0,71.0,1
17,1094.0,0,55,2,660.0,70.0,1
17,2980.0,0,42,2,660.0,235.0,1
12,2651.0,0,115,2,660.0,93.0,0
12,2856.0,0,221,2,660.0,69.0,0
12,2911.0,0,177,2,660.0,70.0,0
13,546.0,0,18,2,661.0,138.0,0
4,718.0,0,10,2,662.0,103.0,0
2,659.0,0,8,2,665.0,180.0,1
0,472.0,0,87,2,665.0,90.0,0
