salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,class
49471.76171953634,82172.12768757872,28,1,2,1,445790.10883874213,26,499564.2695812895,0
47221.69214555866,58140.13263040803,49,3,15,6,198996.53877783555,7,448669.61922690744,0
72348.88949724683,46382.4610975662,68,0,9,8,0.0,29,455579.114627374,1
114380.2514283733,0.0,62,2,4,1,620458.452657741,27,188602.56712037665,1
105909.61230953822,0.0,41,1,3,7,140339.19770249826,17,450687.4800023299,0
95599.75083985217,0.0,29,4,3,8,0.0,16,350909.8782906457,0
39267.01279718995,74523.44110922614,49,4,15,4,422928.02440135693,28,439038.2521827517,0
37546.84523179357,67322.14745207422,26,4,11,5,434999.9196318682,27,247315.9562931262,0
101118.14316879406,0.0,39,1,12,8,0.0,22,35710.41601941749,0
137418.68191490963,0.0,52,4,8,5,223165.88515319867,1,147853.33850693432,0
48572.870304357246,12524.018710517426,36,3,10,6,135050.19792533029,13,58131.11054219916,0
141230.69939175458,0.0,74,0,7,2,480026.85211516806,1,398208.9488368413,0
69458.85423150711,72729.75160004033,56,3,8,2,546060.5870067952,15,203577.47904196955,0
30418.135944799575,15248.160076557258,65,0,2,1,814248.9856076716,25,260472.2661051304,0
66821.30582612252,70577.48660620037,52,3,5,1,482775.8924056554,30,70195.3520655359,0
70223.28433071781,53025.329962791264,67,2,12,5,439488.6293248328,1,322923.24243366136,1
84872.5463249583,0.0,23,4,2,2,406678.8211652149,14,220761.93660852034,1
30836.124316302914,55405.13282119289,51,3,5,6,124404.40372893203,19,360480.66039640154,0
104228.94601850763,0.0,66,3,17,1,850842.581316598,16,281929.963803861,1
126139.980308004,0.0,49,1,2,3,274463.3870058558,4,54091.52139431084,0
114268.33048908564,0.0,65,4,20,0,924169.912124265,27,216210.05433752804,1
32133.638465590877,82583.91682932159,68,4,17,3,500764.5570838242,11,262870.4212014041,0
116713.6363504324,0.0,61,1,1,4,445267.5232186397,30,39937.21210692069,0
61733.902622650545,78025.923510118,45,1,10,1,733137.0152059066,24,184626.87658809073,0
142384.99348088674,0.0,74,2,17,4,450044.8609329901,12,391636.7027732405,0
58457.51177281016,73428.74696997838,32,3,12,6,291716.7106046817,28,459327.7287184861,0
46682.45701316288,39776.69291926554,44,4,12,5,351927.71724053065,7,244971.1331080276,0
88761.38877832568,0.0,73,0,9,2,341176.4390688024,24,433202.17456997704,0
148537.35167209504,0.0,69,0,20,4,594692.9642309137,9,402112.170403155,0
85550.74874251173,0.0,37,3,8,5,223733.9346828586,8,395081.3207951003,0
117160.25031754053,0.0,35,1,20,8,0.0,12,248324.20714485014,0
33747.192048630975,18371.97306823388,25,1,19,6,284090.2150349885,26,455057.10742177494,0
22871.584738322796,24343.2466415908,36,0,4,7,95973.6115252316,22,452714.4256317456,0
140290.93216057846,0.0,25,1,20,5,409503.1253562526,21,32986.835837064245,0
122779.14803499317,0.0,73,0,5,5,448482.81926314073,3,407402.17354421486,0
