x1,x2,x3,x4,x5,x6,x7,x8,x9,class
142950.04737343715,0.0,64.0,4.0,9.0,7.0,140654.21675321055,1.0,296513.09228985687,0
89646.45522952499,0.0,20.0,4.0,16.0,2.0,550172.7113617708,27.0,45930.23155259695,1
105479.37769366564,0.0,77.0,1.0,16.0,7.0,104601.26907759164,5.0,409001.48835493164,1
86871.92696995434,0.0,68.0,3.0,12.0,7.0,156715.14807420655,15.0,127803.06627257416,0
75450.26604872948,0.0,39.0,1.0,8.0,8.0,122489.68973221579,10.0,473896.15077074326,0
140269.81397790677,0.0,24.0,2.0,10.0,7.0,118081.36485201896,29.0,309592.0008558223,1
97402.53568546097,0.0,41.0,0.0,18.0,7.0,257351.92743771998,12.0,403726.75735961145,1
51973.93704322759,30521.10624344004,65.0,3.0,18.0,1.0,739003.9387730667,9.0,344338.3203516293,0
121412.46115522072,0.0,31.0,0.0,15.0,4.0,736824.6447255865,23.0,261786.15192841526,0
30469.415673402676,39088.85602038588,37.0,1.0,7.0,2.0,986070.8446064157,25.0,67014.30662190377,0
64285.66639635566,64119.211191997674,23.0,3.0,10.0,7.0,271018.34920863895,11.0,232660.03850702415,1
136527.06239289636,0.0,78.0,4.0,17.0,4.0,728555.3254597042,17.0,224525.94051484758,0
113754.23767320332,0.0,71.0,2.0,11.0,5.0,434197.46091781557,11.0,247958.5847649531,0
65984.2723294218,13015.852640696223,31.0,2.0,12.0,2.0,1045766.8844122225,2.0,276560.7220862707,1
85482.5275050763,0.0,74.0,3.0,12.0,4.0,284435.8332923315,20.0,241051.43201028716,0
64503.95088368231,73760.77443055995,80.0,0.0,8.0,1.0,1098666.2016944329,6.0,405672.9926565325,1
102062.32563295407,0.0,35.0,3.0,14.0,3.0,847655.7953083388,12.0,127015.87593606206,1
137395.09803011327,0.0,54.0,1.0,6.0,6.0,338388.3137319236,2.0,497165.4801679457,0
135202.61484206642,0.0,72.0,4.0,3.0,6.0,393799.3203153011,25.0,347689.8265503532,0
37211.21517003325,25996.391243439906,79.0,1.0,3.0,3.0,447238.5911893784,14.0,310594.36314241076,1
