dataset_id	file_name	exists	rows_approx	n_columns	target_candidate	target_source	target_nunique_sample	target_dtype_sample	last_column	sensitive_candidates_REVIEW	sha256	duplicate_sha_with	size_bytes	columns
adult	adult.csv	True	32537	15	income	named_candidate	2	int64	income	age,marital_status,race,sex	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8		3451779	age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
electricity	electricity.csv	True	45312	9	class	named_candidate	2	int64	class		ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a		3043552	date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
forest_cover	forest_cover.csv	True	581012	55	class	named_candidate	7	int64	class		65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2		87370728	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,class
hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	True	500000	11	class	named_candidate	2	int64	class		ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e		97849403	0,1,2,3,4,5,6,7,8,9,class
insects	insects.csv	True	52848	34	class	named_candidate	6	int64	class		cf11f6cf52c118d6aecebe5c206471230c1d262f1144d0c3d91f9ef529218ae1		15607945	Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,class
movingRBF	movingRBF.csv	True	200000	11	class	named_candidate	5	int64	class		8264a5094978ff2b34765b0e6da277ff26f5c6b133a8730d415b1bd359797f8e		21485759	0,1,2,3,4,5,6,7,8,9,class
moving_squares	moving_squares.csv	True	200000	3	class	named_candidate	4	int64	class		f24cc07a74f9577d15d986deb77dcb05a040003db433ac08859d9267a8f7a190		4463372	feat_1,feat_2,class
new_airlines	new_airlines.csv	True	539383	8	class	named_candidate	2	int64	class		6dd69e03db211df9762922d2b82d43c6ea370635b226715b5dfb4254bbaa443c		17264121	0,1,2,3,4,5,6,class
rialto	rialto.csv	True	82250	28	class	named_candidate	10	int64	class		410f0b4881b90b19cf072826aa30eeb8df640035f661504a70efc6c77d9c189c		12796759	x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,class
river_SEA	river_SEA.csv	True	40000	4	class	named_candidate	2	bool	class		ed5a67b0e6ffa399024eba55911ed8b2c873118affa68d2e36a80e02d6ffdf6d		2404924	x1,x2,x3,class
