new_task_id	original_737025_task_id	dataset_id	seed
0	6	adult	42
1	7	adult	43
2	8	adult	44
3	21	electricity	42
4	22	electricity	43
5	23	electricity	44
6	36	forest_cover	42
7	37	forest_cover	43
8	38	forest_cover	44
9	51	hyperplane_high_gradual_drift	42
10	52	hyperplane_high_gradual_drift	43
11	53	hyperplane_high_gradual_drift	44
12	66	insects	42
13	67	insects	43
14	68	insects	44
15	81	movingRBF	42
16	82	movingRBF	43
17	83	movingRBF	44
18	96	moving_squares	42
19	97	moving_squares	43
20	98	moving_squares	44
21	111	new_airlines	42
22	112	new_airlines	43
23	113	new_airlines	44
24	126	rialto	42
25	127	rialto	43
26	128	rialto	44
27	141	river_SEA	42
28	142	river_SEA	43
29	143	river_SEA	44
30	156	river_SEA_2	42
31	157	river_SEA_2	43
32	158	river_SEA_2	44
33	171	river_SINE	42
34	172	river_SINE	43
35	173	river_SINE	44
36	186	river_STAGGER	42
37	187	river_STAGGER	43
38	188	river_STAGGER	44
39	201	river_Waveform	42
40	202	river_Waveform	43
41	203	river_Waveform	44
42	216	river_Waveform_2	42
43	217	river_Waveform_2	43
44	218	river_Waveform_2	44
45	231	river_aggrawal	42
46	232	river_aggrawal	43
47	233	river_aggrawal	44
48	246	river_anomalysine	42
49	247	river_anomalysine	43
50	248	river_anomalysine	44
51	261	river_hyperlane	42
52	262	river_hyperlane	43
53	263	river_hyperlane	44
54	276	river_hyperlane_2	42
55	277	river_hyperlane_2	43
56	278	river_hyperlane_2	44
57	291	river_led	42
58	292	river_led	43
59	293	river_led	44
60	306	river_led_default_drift	42
61	307	river_led_default_drift	43
62	308	river_led_default_drift	44
63	321	river_mixed	42
64	322	river_mixed	43
65	323	river_mixed	44
66	336	river_randomRBF	42
67	337	river_randomRBF	43
68	338	river_randomRBF	44
69	351	river_randomRBF_2	42
70	352	river_randomRBF_2	43
71	353	river_randomRBF_2	44
72	366	river_randomRBF_drift	42
73	367	river_randomRBF_drift	43
74	368	river_randomRBF_drift	44
75	381	river_randomTree	42
76	382	river_randomTree	43
77	383	river_randomTree	44
78	396	river_randomTree_2	42
79	397	river_randomTree_2	43
80	398	river_randomTree_2	44
81	411	sea_high_abrupt_drift	42
82	412	sea_high_abrupt_drift	43
83	413	sea_high_abrupt_drift	44
84	426	sea_high_mixed_drift	42
85	427	sea_high_mixed_drift	43
86	428	sea_high_mixed_drift	44
87	441	shuttle	42
88	442	shuttle	43
89	443	shuttle	44
90	456	skmul_SEA	42
91	457	skmul_SEA	43
92	458	skmul_SEA	44
93	471	skmul_SEA_2	42
94	472	skmul_SEA_2	43
95	473	skmul_SEA_2	44
96	486	skmul_STAGGER	42
97	487	skmul_STAGGER	43
98	488	skmul_STAGGER	44
99	501	skmul_STAGGER_2	42
100	502	skmul_STAGGER_2	43
101	503	skmul_STAGGER_2	44
102	516	skmul_Sine	42
103	517	skmul_Sine	43
104	518	skmul_Sine	44
105	531	skmul_Waveform	42
106	532	skmul_Waveform	43
107	533	skmul_Waveform	44
108	546	skmul_aggrawal	42
109	547	skmul_aggrawal	43
110	548	skmul_aggrawal	44
111	561	skmul_anomalysine	42
112	562	skmul_anomalysine	43
113	563	skmul_anomalysine	44
114	576	skmul_anomalysine_2	42
115	577	skmul_anomalysine_2	43
116	578	skmul_anomalysine_2	44
117	591	skmul_hyperlane	42
118	592	skmul_hyperlane	43
119	593	skmul_hyperlane	44
120	606	skmul_ledgenerator	42
121	607	skmul_ledgenerator	43
122	608	skmul_ledgenerator	44
123	621	skmul_ledgenerator_default_drift	42
124	622	skmul_ledgenerator_default_drift	43
125	623	skmul_ledgenerator_default_drift	44
126	636	skmul_randomRBF_default_drift	42
127	637	skmul_randomRBF_default_drift	43
128	638	skmul_randomRBF_default_drift	44
129	651	skmul_randomRBF_gradual	42
130	652	skmul_randomRBF_gradual	43
131	653	skmul_randomRBF_gradual	44
132	666	skmul_randomTree	42
133	667	skmul_randomTree	43
134	668	skmul_randomTree	44
135	681	skmul_randomTree_2	42
136	682	skmul_randomTree_2	43
137	683	skmul_randomTree_2	44
138	696	synth_RandomRBFDrift	42
139	697	synth_RandomRBFDrift	43
140	698	synth_RandomRBFDrift	44
