task_id	dataset_id	file_name	target	framework	environment	seed	max_samples	window_size	time_budget_sec	sha256
0	adult	adult.csv	income	ChaCha	main	42	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
1	adult	adult.csv	income	ChaCha	main	43	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
2	adult	adult.csv	income	ChaCha	main	44	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
3	electricity	electricity.csv	class	ChaCha	main	42	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
4	electricity	electricity.csv	class	ChaCha	main	43	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
5	electricity	electricity.csv	class	ChaCha	main	44	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
6	forest_cover	forest_cover.csv	class	ChaCha	main	42	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
7	forest_cover	forest_cover.csv	class	ChaCha	main	43	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
8	forest_cover	forest_cover.csv	class	ChaCha	main	44	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
9	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	ChaCha	main	42	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
10	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	ChaCha	main	43	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
11	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	ChaCha	main	44	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
12	insects	insects.csv	class	ChaCha	main	42	30000	1000	60	cf11f6cf52c118d6aecebe5c206471230c1d262f1144d0c3d91f9ef529218ae1
13	insects	insects.csv	class	ChaCha	main	43	30000	1000	60	cf11f6cf52c118d6aecebe5c206471230c1d262f1144d0c3d91f9ef529218ae1
14	insects	insects.csv	class	ChaCha	main	44	30000	1000	60	cf11f6cf52c118d6aecebe5c206471230c1d262f1144d0c3d91f9ef529218ae1
15	movingRBF	movingRBF.csv	class	ChaCha	main	42	30000	1000	60	8264a5094978ff2b34765b0e6da277ff26f5c6b133a8730d415b1bd359797f8e
