task_id	dataset_id	file_name	target	framework	environment	seed	max_samples	window_size	time_budget_sec	sha256
0	adult	adult.csv	income	AutoStreamML	main	42	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
1	adult	adult.csv	income	AutoStreamML	main	43	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
2	adult	adult.csv	income	AutoStreamML	main	44	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
3	adult	adult.csv	income	AutoClass	main	42	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
4	adult	adult.csv	income	AutoClass	main	43	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
5	adult	adult.csv	income	AutoClass	main	44	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
6	adult	adult.csv	income	ChaCha	main	42	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
7	adult	adult.csv	income	ChaCha	main	43	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
8	adult	adult.csv	income	ChaCha	main	44	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
9	adult	adult.csv	income	OAML	oaml	42	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
10	adult	adult.csv	income	OAML	oaml	43	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
11	adult	adult.csv	income	OAML	oaml	44	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
12	adult	adult.csv	income	EvoAutoML	evo	42	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
13	adult	adult.csv	income	EvoAutoML	evo	43	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
14	adult	adult.csv	income	EvoAutoML	evo	44	30000	1000	60	39e202102160619b5de6c3a1aaf75a525cc0a3452eda40d738aec0e002ecb5b8
15	electricity	electricity.csv	class	AutoStreamML	main	42	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
16	electricity	electricity.csv	class	AutoStreamML	main	43	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
17	electricity	electricity.csv	class	AutoStreamML	main	44	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
18	electricity	electricity.csv	class	AutoClass	main	42	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
19	electricity	electricity.csv	class	AutoClass	main	43	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
20	electricity	electricity.csv	class	AutoClass	main	44	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
21	electricity	electricity.csv	class	ChaCha	main	42	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
22	electricity	electricity.csv	class	ChaCha	main	43	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
23	electricity	electricity.csv	class	ChaCha	main	44	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
24	electricity	electricity.csv	class	OAML	oaml	42	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
25	electricity	electricity.csv	class	OAML	oaml	43	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
26	electricity	electricity.csv	class	OAML	oaml	44	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
27	electricity	electricity.csv	class	EvoAutoML	evo	42	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
28	electricity	electricity.csv	class	EvoAutoML	evo	43	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
29	electricity	electricity.csv	class	EvoAutoML	evo	44	30000	1000	60	ec71359e5f511f8513b349de0f18e878de7caf77488f562bada6e02f43a0b72a
30	forest_cover	forest_cover.csv	class	AutoStreamML	main	42	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
31	forest_cover	forest_cover.csv	class	AutoStreamML	main	43	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
32	forest_cover	forest_cover.csv	class	AutoStreamML	main	44	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
33	forest_cover	forest_cover.csv	class	AutoClass	main	42	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
34	forest_cover	forest_cover.csv	class	AutoClass	main	43	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
35	forest_cover	forest_cover.csv	class	AutoClass	main	44	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
36	forest_cover	forest_cover.csv	class	ChaCha	main	42	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
37	forest_cover	forest_cover.csv	class	ChaCha	main	43	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
38	forest_cover	forest_cover.csv	class	ChaCha	main	44	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
39	forest_cover	forest_cover.csv	class	OAML	oaml	42	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
40	forest_cover	forest_cover.csv	class	OAML	oaml	43	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
41	forest_cover	forest_cover.csv	class	OAML	oaml	44	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
42	forest_cover	forest_cover.csv	class	EvoAutoML	evo	42	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
43	forest_cover	forest_cover.csv	class	EvoAutoML	evo	43	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
44	forest_cover	forest_cover.csv	class	EvoAutoML	evo	44	30000	1000	60	65f9708917b40a1e0ff2e7f8d429decb23867b4a4c1cc370a9bc2a0c0476bac2
45	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	AutoStreamML	main	42	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
46	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	AutoStreamML	main	43	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
47	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	AutoStreamML	main	44	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
48	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	AutoClass	main	42	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
49	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	AutoClass	main	43	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
50	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	AutoClass	main	44	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
51	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	ChaCha	main	42	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
52	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	ChaCha	main	43	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
53	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	ChaCha	main	44	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
54	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	OAML	oaml	42	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
55	hyperplane_high_gradual_drift	hyperplane_high_gradual_drift.csv	class	OAML	oaml	43	30000	1000	60	ae70dd8554138bad6354c93d4667c60ab53a5cb42dc5b132240a359751f6382e
